"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|ES","Generation - Solar  [MW] Intraday / BZN|ES","Generation - Solar  [MW] Current / BZN|ES","Generation - Wind Offshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore  [MW] Intraday / BZN|ES","Generation - Wind Offshore  [MW] Current / BZN|ES","Generation - Wind Onshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore  [MW] Intraday / BZN|ES","Generation - Wind Onshore  [MW] Current / BZN|ES"
"01.01.2016 00:00 - 01.01.2016 01:00","5","n/e","n/e","n/e","n/e","n/e","2923","n/e","n/e"
"01.01.2016 01:00 - 01.01.2016 02:00","4","n/e","n/e","n/e","n/e","n/e","3307","n/e","n/e"
"01.01.2016 02:00 - 01.01.2016 03:00","4","n/e","n/e","n/e","n/e","n/e","3681","n/e","n/e"
"01.01.2016 03:00 - 01.01.2016 04:00","4","n/e","n/e","n/e","n/e","n/e","4053","n/e","n/e"
"01.01.2016 04:00 - 01.01.2016 05:00","4","n/e","n/e","n/e","n/e","n/e","4908","n/e","n/e"
"01.01.2016 05:00 - 01.01.2016 06:00","4","n/e","n/e","n/e","n/e","n/e","5698","n/e","n/e"
"01.01.2016 06:00 - 01.01.2016 07:00","4","n/e","n/e","n/e","n/e","n/e","6058","n/e","n/e"
"01.01.2016 07:00 - 01.01.2016 08:00","0","n/e","n/e","n/e","n/e","n/e","6602","n/e","n/e"
"01.01.2016 08:00 - 01.01.2016 09:00","27","n/e","n/e","n/e","n/e","n/e","7007","n/e","n/e"
"01.01.2016 09:00 - 01.01.2016 10:00","254","n/e","n/e","n/e","n/e","n/e","7117","n/e","n/e"
"01.01.2016 10:00 - 01.01.2016 11:00","599","n/e","n/e","n/e","n/e","n/e","7444","n/e","n/e"
"01.01.2016 11:00 - 01.01.2016 12:00","953","n/e","n/e","n/e","n/e","n/e","8578","n/e","n/e"
"01.01.2016 12:00 - 01.01.2016 13:00","1198","n/e","n/e","n/e","n/e","n/e","9545","n/e","n/e"
"01.01.2016 13:00 - 01.01.2016 14:00","1329","n/e","n/e","n/e","n/e","n/e","10182","n/e","n/e"
"01.01.2016 14:00 - 01.01.2016 15:00","1301","n/e","n/e","n/e","n/e","n/e","11050","n/e","n/e"
"01.01.2016 15:00 - 01.01.2016 16:00","1062","n/e","n/e","n/e","n/e","n/e","11441","n/e","n/e"
"01.01.2016 16:00 - 01.01.2016 17:00","665","n/e","n/e","n/e","n/e","n/e","11638","n/e","n/e"
"01.01.2016 17:00 - 01.01.2016 18:00","234","n/e","n/e","n/e","n/e","n/e","11639","n/e","n/e"
"01.01.2016 18:00 - 01.01.2016 19:00","27","n/e","n/e","n/e","n/e","n/e","11374","n/e","n/e"
"01.01.2016 19:00 - 01.01.2016 20:00","13","n/e","n/e","n/e","n/e","n/e","11694","n/e","n/e"
"01.01.2016 20:00 - 01.01.2016 21:00","0","n/e","n/e","n/e","n/e","n/e","11615","n/e","n/e"
"01.01.2016 21:00 - 01.01.2016 22:00","0","n/e","n/e","n/e","n/e","n/e","11634","n/e","n/e"
"01.01.2016 22:00 - 01.01.2016 23:00","0","n/e","n/e","n/e","n/e","n/e","11697","n/e","n/e"
"01.01.2016 23:00 - 02.01.2016 00:00","0","n/e","n/e","n/e","n/e","n/e","11660","n/e","n/e"
"02.01.2016 00:00 - 02.01.2016 01:00","0","n/e","n/e","n/e","n/e","n/e","11410","n/e","n/e"
"02.01.2016 01:00 - 02.01.2016 02:00","3","n/e","n/e","n/e","n/e","n/e","11043","n/e","n/e"
"02.01.2016 02:00 - 02.01.2016 03:00","4","n/e","n/e","n/e","n/e","n/e","10678","n/e","n/e"
"02.01.2016 03:00 - 02.01.2016 04:00","2","n/e","n/e","n/e","n/e","n/e","10684","n/e","n/e"
"02.01.2016 04:00 - 02.01.2016 05:00","0","n/e","n/e","n/e","n/e","n/e","10312","n/e","n/e"
"02.01.2016 05:00 - 02.01.2016 06:00","0","n/e","n/e","n/e","n/e","n/e","10804","n/e","n/e"
"02.01.2016 06:00 - 02.01.2016 07:00","1","n/e","n/e","n/e","n/e","n/e","10783","n/e","n/e"
"02.01.2016 07:00 - 02.01.2016 08:00","10","n/e","n/e","n/e","n/e","n/e","10640","n/e","n/e"
"02.01.2016 08:00 - 02.01.2016 09:00","44","n/e","n/e","n/e","n/e","n/e","10347","n/e","n/e"
"02.01.2016 09:00 - 02.01.2016 10:00","371","n/e","n/e","n/e","n/e","n/e","10445","n/e","n/e"
"02.01.2016 10:00 - 02.01.2016 11:00","843","n/e","n/e","n/e","n/e","n/e","10234","n/e","n/e"
"02.01.2016 11:00 - 02.01.2016 12:00","1278","n/e","n/e","n/e","n/e","n/e","9954","n/e","n/e"
"02.01.2016 12:00 - 02.01.2016 13:00","1720","n/e","n/e","n/e","n/e","n/e","10642","n/e","n/e"
"02.01.2016 13:00 - 02.01.2016 14:00","1798","n/e","n/e","n/e","n/e","n/e","11272","n/e","n/e"
"02.01.2016 14:00 - 02.01.2016 15:00","1777","n/e","n/e","n/e","n/e","n/e","11446","n/e","n/e"
