"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|ES","Generation - Solar  [MW] Intraday / BZN|ES","Generation - Solar  [MW] Current / BZN|ES","Generation - Wind Offshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore  [MW] Intraday / BZN|ES","Generation - Wind Offshore  [MW] Current / BZN|ES","Generation - Wind Onshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore  [MW] Intraday / BZN|ES","Generation - Wind Onshore  [MW] Current / BZN|ES"
"05.01.2018 01:00 - 05.01.2018 02:00","13","n/e","n/e","n/e","n/e","n/e","11916","n/e","n/e"
"05.01.2018 02:00 - 05.01.2018 03:00","15","n/e","n/e","n/e","n/e","n/e","11765","n/e","n/e"
"05.01.2018 03:00 - 05.01.2018 04:00","16","n/e","n/e","n/e","n/e","n/e","11213","n/e","n/e"
"05.01.2018 04:00 - 05.01.2018 05:00","15","n/e","n/e","n/e","n/e","n/e","10997","n/e","n/e"
"05.01.2018 05:00 - 05.01.2018 06:00","14","n/e","n/e","n/e","n/e","n/e","11071","n/e","n/e"
"05.01.2018 06:00 - 05.01.2018 07:00","13","n/e","n/e","n/e","n/e","n/e","11286","n/e","n/e"
"05.01.2018 07:00 - 05.01.2018 08:00","16","n/e","n/e","n/e","n/e","n/e","11082","n/e","n/e"
"05.01.2018 08:00 - 05.01.2018 09:00","88","n/e","n/e","n/e","n/e","n/e","10906","n/e","n/e"
"05.01.2018 09:00 - 05.01.2018 10:00","400","n/e","n/e","n/e","n/e","n/e","11045","n/e","n/e"
"05.01.2018 10:00 - 05.01.2018 11:00","910","n/e","n/e","n/e","n/e","n/e","11422","n/e","n/e"
"05.01.2018 11:00 - 05.01.2018 12:00","1275","n/e","n/e","n/e","n/e","n/e","11831","n/e","n/e"
"05.01.2018 12:00 - 05.01.2018 13:00","1419","n/e","n/e","n/e","n/e","n/e","11706","n/e","n/e"
"05.01.2018 13:00 - 05.01.2018 14:00","1483","n/e","n/e","n/e","n/e","n/e","11175","n/e","n/e"
"05.01.2018 14:00 - 05.01.2018 15:00","1377","n/e","n/e","n/e","n/e","n/e","10759","n/e","n/e"
"05.01.2018 15:00 - 05.01.2018 16:00","1108","n/e","n/e","n/e","n/e","n/e","10078","n/e","n/e"
"05.01.2018 16:00 - 05.01.2018 17:00","702","n/e","n/e","n/e","n/e","n/e","8843","n/e","n/e"
"05.01.2018 17:00 - 05.01.2018 18:00","321","n/e","n/e","n/e","n/e","n/e","7415","n/e","n/e"
"05.01.2018 18:00 - 05.01.2018 19:00","125","n/e","n/e","n/e","n/e","n/e","6628","n/e","n/e"
"05.01.2018 19:00 - 05.01.2018 20:00","23","n/e","n/e","n/e","n/e","n/e","6304","n/e","n/e"
"05.01.2018 20:00 - 05.01.2018 21:00","9","n/e","n/e","n/e","n/e","n/e","5862","n/e","n/e"
"05.01.2018 21:00 - 05.01.2018 22:00","10","n/e","n/e","n/e","n/e","n/e","5452","n/e","n/e"
"05.01.2018 22:00 - 05.01.2018 23:00","10","n/e","n/e","n/e","n/e","n/e","5229","n/e","n/e"
"05.01.2018 23:00 - 06.01.2018 00:00","11","n/e","n/e","n/e","n/e","n/e","5160","n/e","n/e"
"06.01.2018 00:00 - 06.01.2018 01:00","10","n/e","n/e","n/e","n/e","n/e","5003","n/e","n/e"
"06.01.2018 01:00 - 06.01.2018 02:00","11","n/e","n/e","n/e","n/e","n/e","4922","n/e","n/e"
"06.01.2018 02:00 - 06.01.2018 03:00","11","n/e","n/e","n/e","n/e","n/e","4909","n/e","n/e"
"06.01.2018 03:00 - 06.01.2018 04:00","12","n/e","n/e","n/e","n/e","n/e","4811","n/e","n/e"
"06.01.2018 04:00 - 06.01.2018 05:00","11","n/e","n/e","n/e","n/e","n/e","5091","n/e","n/e"
"06.01.2018 05:00 - 06.01.2018 06:00","11","n/e","n/e","n/e","n/e","n/e","4807","n/e","n/e"
"06.01.2018 06:00 - 06.01.2018 07:00","12","n/e","n/e","n/e","n/e","n/e","5025","n/e","n/e"
"06.01.2018 07:00 - 06.01.2018 08:00","12","n/e","n/e","n/e","n/e","n/e","4949","n/e","n/e"
"06.01.2018 08:00 - 06.01.2018 09:00","63","n/e","n/e","n/e","n/e","n/e","5181","n/e","n/e"
"06.01.2018 09:00 - 06.01.2018 10:00","250","n/e","n/e","n/e","n/e","n/e","5202","n/e","n/e"
"06.01.2018 10:00 - 06.01.2018 11:00","556","n/e","n/e","n/e","n/e","n/e","5044","n/e","n/e"
"06.01.2018 11:00 - 06.01.2018 12:00","824","n/e","n/e","n/e","n/e","n/e","4820","n/e","n/e"
"06.01.2018 12:00 - 06.01.2018 13:00","933","n/e","n/e","n/e","n/e","n/e","4412","n/e","n/e"
"06.01.2018 13:00 - 06.01.2018 14:00","1063","n/e","n/e","n/e","n/e","n/e","4864","n/e","n/e"
"06.01.2018 14:00 - 06.01.2018 15:00","1081","n/e","n/e","n/e","n/e","n/e","5508","n/e","n/e"
"06.01.2018 15:00 - 06.01.2018 16:00","908","n/e","n/e","n/e","n/e","n/e","6514","n/e","n/e"
"06.01.2018 16:00 - 06.01.2018 17:00","725","n/e","n/e","n/e","n/e","n/e","7403","n/e","n/e"
"06.01.2018 17:00 - 06.01.2018 18:00","391","n/e","n/e","n/e","n/e","n/e","7988","n/e","n/e"
"06.01.2018 18:00 - 06.01.2018 19:00","224","n/e","n/e","n/e","n/e","n/e","8444","n/e","n/e"
"06.01.2018 19:00 - 06.01.2018 20:00","121","n/e","n/e","n/e","n/e","n/e","8612","n/e","n/e"
"06.01.2018 20:00 - 06.01.2018 21:00","11","n/e","n/e","n/e","n/e","n/e","8851","n/e","n/e"
"06.01.2018 21:00 - 06.01.2018 22:00","11","n/e","n/e","n/e","n/e","n/e","9306","n/e","n/e"
"06.01.2018 22:00 - 06.01.2018 23:00","14","n/e","n/e","n/e","n/e","n/e","9172","n/e","n/e"
"06.01.2018 23:00 - 07.01.2018 00:00","11","n/e","n/e","n/e","n/e","n/e","8891","n/e","n/e"
"07.01.2018 00:00 - 07.01.2018 01:00","11","n/e","n/e","n/e","n/e","n/e","8559","n/e","n/e"
"07.01.2018 01:00 - 07.01.2018 02:00","11","n/e","n/e","n/e","n/e","n/e","7894","n/e","n/e"
"07.01.2018 02:00 - 07.01.2018 03:00","10","n/e","n/e","n/e","n/e","n/e","7338","n/e","n/e"
"07.01.2018 03:00 - 07.01.2018 04:00","11","n/e","n/e","n/e","n/e","n/e","7150","n/e","n/e"
"07.01.2018 04:00 - 07.01.2018 05:00","11","n/e","n/e","n/e","n/e","n/e","6542","n/e","n/e"
"07.01.2018 05:00 - 07.01.2018 06:00","11","n/e","n/e","n/e","n/e","n/e","6340","n/e","n/e"
"07.01.2018 06:00 - 07.01.2018 07:00","10","n/e","n/e","n/e","n/e","n/e","6359","n/e","n/e"
"07.01.2018 07:00 - 07.01.2018 08:00","11","n/e","n/e","n/e","n/e","n/e","6365","n/e","n/e"
"07.01.2018 08:00 - 07.01.2018 09:00","77","n/e","n/e","n/e","n/e","n/e","5951","n/e","n/e"
"07.01.2018 09:00 - 07.01.2018 10:00","358","n/e","n/e","n/e","n/e","n/e","5488","n/e","n/e"
"07.01.2018 10:00 - 07.01.2018 11:00","797","n/e","n/e","n/e","n/e","n/e","5298","n/e","n/e"
"07.01.2018 11:00 - 07.01.2018 12:00","1100","n/e","n/e","n/e","n/e","n/e","5143","n/e","n/e"
"07.01.2018 12:00 - 07.01.2018 13:00","1230","n/e","n/e","n/e","n/e","n/e","4990","n/e","n/e"
"07.01.2018 13:00 - 07.01.2018 14:00","1306","n/e","n/e","n/e","n/e","n/e","4971","n/e","n/e"
"07.01.2018 14:00 - 07.01.2018 15:00","1147","n/e","n/e","n/e","n/e","n/e","4989","n/e","n/e"
"07.01.2018 15:00 - 07.01.2018 16:00","832","n/e","n/e","n/e","n/e","n/e","4822","n/e","n/e"
"07.01.2018 16:00 - 07.01.2018 17:00","595","n/e","n/e","n/e","n/e","n/e","4729","n/e","n/e"
"07.01.2018 17:00 - 07.01.2018 18:00","236","n/e","n/e","n/e","n/e","n/e","4416","n/e","n/e"
"07.01.2018 18:00 - 07.01.2018 19:00","42","n/e","n/e","n/e","n/e","n/e","4056","n/e","n/e"
"07.01.2018 19:00 - 07.01.2018 20:00","31","n/e","n/e","n/e","n/e","n/e","3705","n/e","n/e"
"07.01.2018 20:00 - 07.01.2018 21:00","46","n/e","n/e","n/e","n/e","n/e","3585","n/e","n/e"
"07.01.2018 21:00 - 07.01.2018 22:00","42","n/e","n/e","n/e","n/e","n/e","3201","n/e","n/e"
"07.01.2018 22:00 - 07.01.2018 23:00","23","n/e","n/e","n/e","n/e","n/e","2912","n/e","n/e"
"07.01.2018 23:00 - 08.01.2018 00:00","23","n/e","n/e","n/e","n/e","n/e","2852","n/e","n/e"
"08.01.2018 00:00 - 08.01.2018 01:00","20","n/e","n/e","n/e","n/e","n/e","2473","n/e","n/e"
"08.01.2018 01:00 - 08.01.2018 02:00","18","n/e","n/e","n/e","n/e","n/e","2165","n/e","n/e"
"08.01.2018 02:00 - 08.01.2018 03:00","12","n/e","n/e","n/e","n/e","n/e","1833","n/e","n/e"
"08.01.2018 03:00 - 08.01.2018 04:00","12","n/e","n/e","n/e","n/e","n/e","1611","n/e","n/e"
"08.01.2018 04:00 - 08.01.2018 05:00","12","n/e","n/e","n/e","n/e","n/e","1679","n/e","n/e"
"08.01.2018 05:00 - 08.01.2018 06:00","11","n/e","n/e","n/e","n/e","n/e","1756","n/e","n/e"
"08.01.2018 06:00 - 08.01.2018 07:00","11","n/e","n/e","n/e","n/e","n/e","1708","n/e","n/e"
"08.01.2018 07:00 - 08.01.2018 08:00","26","n/e","n/e","n/e","n/e","n/e","1614","n/e","n/e"
"08.01.2018 08:00 - 08.01.2018 09:00","101","n/e","n/e","n/e","n/e","n/e","1412","n/e","n/e"
"08.01.2018 09:00 - 08.01.2018 10:00","516","n/e","n/e","n/e","n/e","n/e","1069","n/e","n/e"
"08.01.2018 10:00 - 08.01.2018 11:00","1218","n/e","n/e","n/e","n/e","n/e","972","n/e","n/e"
"08.01.2018 11:00 - 08.01.2018 12:00","1839","n/e","n/e","n/e","n/e","n/e","1021","n/e","n/e"
"08.01.2018 12:00 - 08.01.2018 13:00","2294","n/e","n/e","n/e","n/e","n/e","1034","n/e","n/e"
"08.01.2018 13:00 - 08.01.2018 14:00","2431","n/e","n/e","n/e","n/e","n/e","969","n/e","n/e"
"08.01.2018 14:00 - 08.01.2018 15:00","2304","n/e","n/e","n/e","n/e","n/e","978","n/e","n/e"
"08.01.2018 15:00 - 08.01.2018 16:00","2083","n/e","n/e","n/e","n/e","n/e","1052","n/e","n/e"
"08.01.2018 16:00 - 08.01.2018 17:00","1483","n/e","n/e","n/e","n/e","n/e","1032","n/e","n/e"
"08.01.2018 17:00 - 08.01.2018 18:00","706","n/e","n/e","n/e","n/e","n/e","1072","n/e","n/e"
"08.01.2018 18:00 - 08.01.2018 19:00","204","n/e","n/e","n/e","n/e","n/e","1439","n/e","n/e"
"08.01.2018 19:00 - 08.01.2018 20:00","97","n/e","n/e","n/e","n/e","n/e","1872","n/e","n/e"
"08.01.2018 20:00 - 08.01.2018 21:00","31","n/e","n/e","n/e","n/e","n/e","2036","n/e","n/e"
"08.01.2018 21:00 - 08.01.2018 22:00","27","n/e","n/e","n/e","n/e","n/e","2334","n/e","n/e"
"08.01.2018 22:00 - 08.01.2018 23:00","27","n/e","n/e","n/e","n/e","n/e","2831","n/e","n/e"
"08.01.2018 23:00 - 09.01.2018 00:00","36","n/e","n/e","n/e","n/e","n/e","3361","n/e","n/e"
"09.01.2018 00:00 - 09.01.2018 01:00","47","n/e","n/e","n/e","n/e","n/e","4003","n/e","n/e"
"09.01.2018 01:00 - 09.01.2018 02:00","42","n/e","n/e","n/e","n/e","n/e","4211","n/e","n/e"
"09.01.2018 02:00 - 09.01.2018 03:00","11","n/e","n/e","n/e","n/e","n/e","4597","n/e","n/e"
"09.01.2018 03:00 - 09.01.2018 04:00","12","n/e","n/e","n/e","n/e","n/e","4964","n/e","n/e"
"09.01.2018 04:00 - 09.01.2018 05:00","10","n/e","n/e","n/e","n/e","n/e","5299","n/e","n/e"
"09.01.2018 05:00 - 09.01.2018 06:00","9","n/e","n/e","n/e","n/e","n/e","5866","n/e","n/e"
"09.01.2018 06:00 - 09.01.2018 07:00","9","n/e","n/e","n/e","n/e","n/e","6299","n/e","n/e"
"09.01.2018 07:00 - 09.01.2018 08:00","12","n/e","n/e","n/e","n/e","n/e","6747","n/e","n/e"
"09.01.2018 08:00 - 09.01.2018 09:00","101","n/e","n/e","n/e","n/e","n/e","7193","n/e","n/e"
"09.01.2018 09:00 - 09.01.2018 10:00","481","n/e","n/e","n/e","n/e","n/e","7630","n/e","n/e"
"09.01.2018 10:00 - 09.01.2018 11:00","1063","n/e","n/e","n/e","n/e","n/e","7691","n/e","n/e"
"09.01.2018 11:00 - 09.01.2018 12:00","1374","n/e","n/e","n/e","n/e","n/e","7725","n/e","n/e"
"09.01.2018 12:00 - 09.01.2018 13:00","1310","n/e","n/e","n/e","n/e","n/e","8201","n/e","n/e"
"09.01.2018 13:00 - 09.01.2018 14:00","1196","n/e","n/e","n/e","n/e","n/e","8579","n/e","n/e"
"09.01.2018 14:00 - 09.01.2018 15:00","930","n/e","n/e","n/e","n/e","n/e","8692","n/e","n/e"
"09.01.2018 15:00 - 09.01.2018 16:00","595","n/e","n/e","n/e","n/e","n/e","8819","n/e","n/e"
"09.01.2018 16:00 - 09.01.2018 17:00","327","n/e","n/e","n/e","n/e","n/e","8707","n/e","n/e"
"09.01.2018 17:00 - 09.01.2018 18:00","110","n/e","n/e","n/e","n/e","n/e","8534","n/e","n/e"
"09.01.2018 18:00 - 09.01.2018 19:00","19","n/e","n/e","n/e","n/e","n/e","8658","n/e","n/e"
"09.01.2018 19:00 - 09.01.2018 20:00","10","n/e","n/e","n/e","n/e","n/e","8589","n/e","n/e"
"09.01.2018 20:00 - 09.01.2018 21:00","8","n/e","n/e","n/e","n/e","n/e","8087","n/e","n/e"
"09.01.2018 21:00 - 09.01.2018 22:00","13","n/e","n/e","n/e","n/e","n/e","7614","n/e","n/e"
"09.01.2018 22:00 - 09.01.2018 23:00","10","n/e","n/e","n/e","n/e","n/e","7169","n/e","n/e"
"09.01.2018 23:00 - 10.01.2018 00:00","12","n/e","n/e","n/e","n/e","n/e","7003","n/e","n/e"
"10.01.2018 00:00 - 10.01.2018 01:00","12","n/e","n/e","n/e","n/e","n/e","6729","n/e","n/e"
"10.01.2018 01:00 - 10.01.2018 02:00","11","n/e","n/e","n/e","n/e","n/e","6295","n/e","n/e"
"10.01.2018 02:00 - 10.01.2018 03:00","11","n/e","n/e","n/e","n/e","n/e","5589","n/e","n/e"
"10.01.2018 03:00 - 10.01.2018 04:00","12","n/e","n/e","n/e","n/e","n/e","5011","n/e","n/e"
"10.01.2018 04:00 - 10.01.2018 05:00","13","n/e","n/e","n/e","n/e","n/e","5383","n/e","n/e"
"10.01.2018 05:00 - 10.01.2018 06:00","13","n/e","n/e","n/e","n/e","n/e","5899","n/e","n/e"
"10.01.2018 06:00 - 10.01.2018 07:00","11","n/e","n/e","n/e","n/e","n/e","6443","n/e","n/e"
"10.01.2018 07:00 - 10.01.2018 08:00","19","n/e","n/e","n/e","n/e","n/e","7027","n/e","n/e"
"10.01.2018 08:00 - 10.01.2018 09:00","87","n/e","n/e","n/e","n/e","n/e","7543","n/e","n/e"
"10.01.2018 09:00 - 10.01.2018 10:00","340","n/e","n/e","n/e","n/e","n/e","8204","n/e","n/e"
"10.01.2018 10:00 - 10.01.2018 11:00","765","n/e","n/e","n/e","n/e","n/e","8445","n/e","n/e"
