"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|ES","Generation - Solar  [MW] Intraday / BZN|ES","Generation - Solar  [MW] Current / BZN|ES","Generation - Wind Offshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore  [MW] Intraday / BZN|ES","Generation - Wind Offshore  [MW] Current / BZN|ES","Generation - Wind Onshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore  [MW] Intraday / BZN|ES","Generation - Wind Onshore  [MW] Current / BZN|ES"
"01.01.2018 00:00 - 01.01.2018 01:00","6","n/e","n/e","n/e","n/e","n/e","12879","n/e","n/e"
"01.01.2018 01:00 - 01.01.2018 02:00","0","n/e","n/e","n/e","n/e","n/e","11527","n/e","n/e"
"01.01.2018 02:00 - 01.01.2018 03:00","1","n/e","n/e","n/e","n/e","n/e","10749","n/e","n/e"
"01.01.2018 03:00 - 01.01.2018 04:00","4","n/e","n/e","n/e","n/e","n/e","8095","n/e","n/e"
"01.01.2018 04:00 - 01.01.2018 05:00","6","n/e","n/e","n/e","n/e","n/e","6391","n/e","n/e"
"01.01.2018 05:00 - 01.01.2018 06:00","4","n/e","n/e","n/e","n/e","n/e","6376","n/e","n/e"
"01.01.2018 06:00 - 01.01.2018 07:00","2","n/e","n/e","n/e","n/e","n/e","6286","n/e","n/e"
"01.01.2018 07:00 - 01.01.2018 08:00","22","n/e","n/e","n/e","n/e","n/e","5954","n/e","n/e"
"01.01.2018 08:00 - 01.01.2018 09:00","107","n/e","n/e","n/e","n/e","n/e","6020","n/e","n/e"
"01.01.2018 09:00 - 01.01.2018 10:00","584","n/e","n/e","n/e","n/e","n/e","5857","n/e","n/e"
"01.01.2018 10:00 - 01.01.2018 11:00","1475","n/e","n/e","n/e","n/e","n/e","6427","n/e","n/e"
"01.01.2018 11:00 - 01.01.2018 12:00","2261","n/e","n/e","n/e","n/e","n/e","7156","n/e","n/e"
"01.01.2018 12:00 - 01.01.2018 13:00","2779","n/e","n/e","n/e","n/e","n/e","8994","n/e","n/e"
"01.01.2018 13:00 - 01.01.2018 14:00","2994","n/e","n/e","n/e","n/e","n/e","9728","n/e","n/e"
"01.01.2018 14:00 - 01.01.2018 15:00","2897","n/e","n/e","n/e","n/e","n/e","11033","n/e","n/e"
"01.01.2018 15:00 - 01.01.2018 16:00","2480","n/e","n/e","n/e","n/e","n/e","12355","n/e","n/e"
"01.01.2018 16:00 - 01.01.2018 17:00","1725","n/e","n/e","n/e","n/e","n/e","12409","n/e","n/e"
"01.01.2018 17:00 - 01.01.2018 18:00","866","n/e","n/e","n/e","n/e","n/e","13128","n/e","n/e"
"01.01.2018 18:00 - 01.01.2018 19:00","259","n/e","n/e","n/e","n/e","n/e","14200","n/e","n/e"
"01.01.2018 19:00 - 01.01.2018 20:00","91","n/e","n/e","n/e","n/e","n/e","14517","n/e","n/e"
"01.01.2018 20:00 - 01.01.2018 21:00","72","n/e","n/e","n/e","n/e","n/e","14218","n/e","n/e"
"01.01.2018 21:00 - 01.01.2018 22:00","60","n/e","n/e","n/e","n/e","n/e","14001","n/e","n/e"
"01.01.2018 22:00 - 01.01.2018 23:00","49","n/e","n/e","n/e","n/e","n/e","14117","n/e","n/e"
"01.01.2018 23:00 - 02.01.2018 00:00","38","n/e","n/e","n/e","n/e","n/e","13938","n/e","n/e"
"02.01.2018 00:00 - 02.01.2018 01:00","22","n/e","n/e","n/e","n/e","n/e","12600","n/e","n/e"
"02.01.2018 01:00 - 02.01.2018 02:00","20","n/e","n/e","n/e","n/e","n/e","11885","n/e","n/e"
"02.01.2018 02:00 - 02.01.2018 03:00","13","n/e","n/e","n/e","n/e","n/e","11443","n/e","n/e"
"02.01.2018 03:00 - 02.01.2018 04:00","9","n/e","n/e","n/e","n/e","n/e","10412","n/e","n/e"
"02.01.2018 04:00 - 02.01.2018 05:00","8","n/e","n/e","n/e","n/e","n/e","10314","n/e","n/e"
"02.01.2018 05:00 - 02.01.2018 06:00","7","n/e","n/e","n/e","n/e","n/e","10821","n/e","n/e"
"02.01.2018 06:00 - 02.01.2018 07:00","7","n/e","n/e","n/e","n/e","n/e","11441","n/e","n/e"
"02.01.2018 07:00 - 02.01.2018 08:00","18","n/e","n/e","n/e","n/e","n/e","11789","n/e","n/e"
"02.01.2018 08:00 - 02.01.2018 09:00","84","n/e","n/e","n/e","n/e","n/e","11731","n/e","n/e"
"02.01.2018 09:00 - 02.01.2018 10:00","449","n/e","n/e","n/e","n/e","n/e","12106","n/e","n/e"
"02.01.2018 10:00 - 02.01.2018 11:00","1085","n/e","n/e","n/e","n/e","n/e","12544","n/e","n/e"
"02.01.2018 11:00 - 02.01.2018 12:00","1826","n/e","n/e","n/e","n/e","n/e","12240","n/e","n/e"
"02.01.2018 12:00 - 02.01.2018 13:00","2407","n/e","n/e","n/e","n/e","n/e","12367","n/e","n/e"
"02.01.2018 13:00 - 02.01.2018 14:00","2576","n/e","n/e","n/e","n/e","n/e","12618","n/e","n/e"
"02.01.2018 14:00 - 02.01.2018 15:00","2584","n/e","n/e","n/e","n/e","n/e","12887","n/e","n/e"
"02.01.2018 15:00 - 02.01.2018 16:00","2360","n/e","n/e","n/e","n/e","n/e","12865","n/e","n/e"
"02.01.2018 16:00 - 02.01.2018 17:00","1747","n/e","n/e","n/e","n/e","n/e","13027","n/e","n/e"
"02.01.2018 17:00 - 02.01.2018 18:00","964","n/e","n/e","n/e","n/e","n/e","12545","n/e","n/e"
"02.01.2018 18:00 - 02.01.2018 19:00","365","n/e","n/e","n/e","n/e","n/e","12596","n/e","n/e"
"02.01.2018 19:00 - 02.01.2018 20:00","66","n/e","n/e","n/e","n/e","n/e","12779","n/e","n/e"
"02.01.2018 20:00 - 02.01.2018 21:00","21","n/e","n/e","n/e","n/e","n/e","12858","n/e","n/e"
"02.01.2018 21:00 - 02.01.2018 22:00","39","n/e","n/e","n/e","n/e","n/e","12847","n/e","n/e"
"02.01.2018 22:00 - 02.01.2018 23:00","22","n/e","n/e","n/e","n/e","n/e","12926","n/e","n/e"
"02.01.2018 23:00 - 03.01.2018 00:00","25","n/e","n/e","n/e","n/e","n/e","12925","n/e","n/e"
"03.01.2018 00:00 - 03.01.2018 01:00","29","n/e","n/e","n/e","n/e","n/e","12475","n/e","n/e"
"03.01.2018 01:00 - 03.01.2018 02:00","24","n/e","n/e","n/e","n/e","n/e","12447","n/e","n/e"
"03.01.2018 02:00 - 03.01.2018 03:00","19","n/e","n/e","n/e","n/e","n/e","12286","n/e","n/e"
"03.01.2018 03:00 - 03.01.2018 04:00","18","n/e","n/e","n/e","n/e","n/e","11036","n/e","n/e"
"03.01.2018 04:00 - 03.01.2018 05:00","12","n/e","n/e","n/e","n/e","n/e","9514","n/e","n/e"
"03.01.2018 05:00 - 03.01.2018 06:00","11","n/e","n/e","n/e","n/e","n/e","9838","n/e","n/e"
"03.01.2018 06:00 - 03.01.2018 07:00","11","n/e","n/e","n/e","n/e","n/e","11085","n/e","n/e"
"03.01.2018 07:00 - 03.01.2018 08:00","11","n/e","n/e","n/e","n/e","n/e","11831","n/e","n/e"
"03.01.2018 08:00 - 03.01.2018 09:00","73","n/e","n/e","n/e","n/e","n/e","11266","n/e","n/e"
"03.01.2018 09:00 - 03.01.2018 10:00","408","n/e","n/e","n/e","n/e","n/e","10788","n/e","n/e"
"03.01.2018 10:00 - 03.01.2018 11:00","934","n/e","n/e","n/e","n/e","n/e","10828","n/e","n/e"
"03.01.2018 11:00 - 03.01.2018 12:00","1425","n/e","n/e","n/e","n/e","n/e","10965","n/e","n/e"
"03.01.2018 12:00 - 03.01.2018 13:00","1680","n/e","n/e","n/e","n/e","n/e","11137","n/e","n/e"
"03.01.2018 13:00 - 03.01.2018 14:00","1893","n/e","n/e","n/e","n/e","n/e","11740","n/e","n/e"
"03.01.2018 14:00 - 03.01.2018 15:00","1917","n/e","n/e","n/e","n/e","n/e","12302","n/e","n/e"
"03.01.2018 15:00 - 03.01.2018 16:00","1555","n/e","n/e","n/e","n/e","n/e","12059","n/e","n/e"
"03.01.2018 16:00 - 03.01.2018 17:00","1097","n/e","n/e","n/e","n/e","n/e","11953","n/e","n/e"
"03.01.2018 17:00 - 03.01.2018 18:00","609","n/e","n/e","n/e","n/e","n/e","11850","n/e","n/e"
"03.01.2018 18:00 - 03.01.2018 19:00","223","n/e","n/e","n/e","n/e","n/e","12115","n/e","n/e"
"03.01.2018 19:00 - 03.01.2018 20:00","22","n/e","n/e","n/e","n/e","n/e","12286","n/e","n/e"
"03.01.2018 20:00 - 03.01.2018 21:00","10","n/e","n/e","n/e","n/e","n/e","12363","n/e","n/e"
"03.01.2018 21:00 - 03.01.2018 22:00","12","n/e","n/e","n/e","n/e","n/e","12560","n/e","n/e"
"03.01.2018 22:00 - 03.01.2018 23:00","12","n/e","n/e","n/e","n/e","n/e","12521","n/e","n/e"
"03.01.2018 23:00 - 04.01.2018 00:00","11","n/e","n/e","n/e","n/e","n/e","12312","n/e","n/e"
"04.01.2018 00:00 - 04.01.2018 01:00","12","n/e","n/e","n/e","n/e","n/e","12399","n/e","n/e"
"04.01.2018 01:00 - 04.01.2018 02:00","11","n/e","n/e","n/e","n/e","n/e","12093","n/e","n/e"
"04.01.2018 02:00 - 04.01.2018 03:00","11","n/e","n/e","n/e","n/e","n/e","11635","n/e","n/e"
"04.01.2018 03:00 - 04.01.2018 04:00","12","n/e","n/e","n/e","n/e","n/e","11481","n/e","n/e"
"04.01.2018 04:00 - 04.01.2018 05:00","12","n/e","n/e","n/e","n/e","n/e","11705","n/e","n/e"
"04.01.2018 05:00 - 04.01.2018 06:00","13","n/e","n/e","n/e","n/e","n/e","12366","n/e","n/e"
"04.01.2018 06:00 - 04.01.2018 07:00","12","n/e","n/e","n/e","n/e","n/e","12511","n/e","n/e"
"04.01.2018 07:00 - 04.01.2018 08:00","14","n/e","n/e","n/e","n/e","n/e","12213","n/e","n/e"
"04.01.2018 08:00 - 04.01.2018 09:00","92","n/e","n/e","n/e","n/e","n/e","12390","n/e","n/e"
"04.01.2018 09:00 - 04.01.2018 10:00","446","n/e","n/e","n/e","n/e","n/e","12383","n/e","n/e"
"04.01.2018 10:00 - 04.01.2018 11:00","1028","n/e","n/e","n/e","n/e","n/e","12179","n/e","n/e"
"04.01.2018 11:00 - 04.01.2018 12:00","1627","n/e","n/e","n/e","n/e","n/e","12355","n/e","n/e"
"04.01.2018 12:00 - 04.01.2018 13:00","1798","n/e","n/e","n/e","n/e","n/e","13116","n/e","n/e"
"04.01.2018 13:00 - 04.01.2018 14:00","1850","n/e","n/e","n/e","n/e","n/e","13793","n/e","n/e"
"04.01.2018 14:00 - 04.01.2018 15:00","1658","n/e","n/e","n/e","n/e","n/e","13982","n/e","n/e"
"04.01.2018 15:00 - 04.01.2018 16:00","1393","n/e","n/e","n/e","n/e","n/e","13894","n/e","n/e"
"04.01.2018 16:00 - 04.01.2018 17:00","947","n/e","n/e","n/e","n/e","n/e","13608","n/e","n/e"
"04.01.2018 17:00 - 04.01.2018 18:00","412","n/e","n/e","n/e","n/e","n/e","13033","n/e","n/e"
"04.01.2018 18:00 - 04.01.2018 19:00","98","n/e","n/e","n/e","n/e","n/e","12963","n/e","n/e"
"04.01.2018 19:00 - 04.01.2018 20:00","18","n/e","n/e","n/e","n/e","n/e","13201","n/e","n/e"
"04.01.2018 20:00 - 04.01.2018 21:00","9","n/e","n/e","n/e","n/e","n/e","13448","n/e","n/e"
"04.01.2018 21:00 - 04.01.2018 22:00","10","n/e","n/e","n/e","n/e","n/e","13255","n/e","n/e"
"04.01.2018 22:00 - 04.01.2018 23:00","10","n/e","n/e","n/e","n/e","n/e","12771","n/e","n/e"
"04.01.2018 23:00 - 05.01.2018 00:00","11","n/e","n/e","n/e","n/e","n/e","12140","n/e","n/e"
"05.01.2018 00:00 - 05.01.2018 01:00","13","n/e","n/e","n/e","n/e","n/e","11985","n/e","n/e"
