"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|ES","Generation - Solar  [MW] Intraday / BZN|ES","Generation - Solar  [MW] Current / BZN|ES","Generation - Wind Offshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore  [MW] Intraday / BZN|ES","Generation - Wind Offshore  [MW] Current / BZN|ES","Generation - Wind Onshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore  [MW] Intraday / BZN|ES","Generation - Wind Onshore  [MW] Current / BZN|ES"
"01.01.2015 00:00 - 01.01.2015 01:00","17","n/e","n/e","n/e","n/e","n/e","6436","n/e","n/e"
"01.01.2015 01:00 - 01.01.2015 02:00","16","n/e","n/e","n/e","n/e","n/e","5856","n/e","n/e"
"01.01.2015 02:00 - 01.01.2015 03:00","8","n/e","n/e","n/e","n/e","n/e","5454","n/e","n/e"
"01.01.2015 03:00 - 01.01.2015 04:00","2","n/e","n/e","n/e","n/e","n/e","5151","n/e","n/e"
"01.01.2015 04:00 - 01.01.2015 05:00","9","n/e","n/e","n/e","n/e","n/e","4861","n/e","n/e"
"01.01.2015 05:00 - 01.01.2015 06:00","4","n/e","n/e","n/e","n/e","n/e","4617","n/e","n/e"
"01.01.2015 06:00 - 01.01.2015 07:00","3","n/e","n/e","n/e","n/e","n/e","4276","n/e","n/e"
"01.01.2015 07:00 - 01.01.2015 08:00","12","n/e","n/e","n/e","n/e","n/e","3994","n/e","n/e"
"01.01.2015 08:00 - 01.01.2015 09:00","39","n/e","n/e","n/e","n/e","n/e","3602","n/e","n/e"
"01.01.2015 09:00 - 01.01.2015 10:00","784","n/e","n/e","n/e","n/e","n/e","3212","n/e","n/e"
"01.01.2015 10:00 - 01.01.2015 11:00","1996","n/e","n/e","n/e","n/e","n/e","2617","n/e","n/e"
"01.01.2015 11:00 - 01.01.2015 12:00","2990","n/e","n/e","n/e","n/e","n/e","2450","n/e","n/e"
"01.01.2015 12:00 - 01.01.2015 13:00","3842","n/e","n/e","n/e","n/e","n/e","2819","n/e","n/e"
"01.01.2015 13:00 - 01.01.2015 14:00","3812","n/e","n/e","n/e","n/e","n/e","2830","n/e","n/e"
"01.01.2015 14:00 - 01.01.2015 15:00","3699","n/e","n/e","n/e","n/e","n/e","2851","n/e","n/e"
"01.01.2015 15:00 - 01.01.2015 16:00","3369","n/e","n/e","n/e","n/e","n/e","2822","n/e","n/e"
"01.01.2015 16:00 - 01.01.2015 17:00","2615","n/e","n/e","n/e","n/e","n/e","2562","n/e","n/e"
"01.01.2015 17:00 - 01.01.2015 18:00","1387","n/e","n/e","n/e","n/e","n/e","2578","n/e","n/e"
"01.01.2015 18:00 - 01.01.2015 19:00","399","n/e","n/e","n/e","n/e","n/e","2824","n/e","n/e"
"01.01.2015 19:00 - 01.01.2015 20:00","100","n/e","n/e","n/e","n/e","n/e","2801","n/e","n/e"
"01.01.2015 20:00 - 01.01.2015 21:00","44","n/e","n/e","n/e","n/e","n/e","2999","n/e","n/e"
"01.01.2015 21:00 - 01.01.2015 22:00","26","n/e","n/e","n/e","n/e","n/e","3185","n/e","n/e"
"01.01.2015 22:00 - 01.01.2015 23:00","13","n/e","n/e","n/e","n/e","n/e","3446","n/e","n/e"
"01.01.2015 23:00 - 02.01.2015 00:00","14","n/e","n/e","n/e","n/e","n/e","3482","n/e","n/e"
"02.01.2015 00:00 - 02.01.2015 01:00","13","n/e","n/e","n/e","n/e","n/e","3494","n/e","n/e"
"02.01.2015 01:00 - 02.01.2015 02:00","10","n/e","n/e","n/e","n/e","n/e","3189","n/e","n/e"
"02.01.2015 02:00 - 02.01.2015 03:00","9","n/e","n/e","n/e","n/e","n/e","2892","n/e","n/e"
"02.01.2015 03:00 - 02.01.2015 04:00","11","n/e","n/e","n/e","n/e","n/e","2902","n/e","n/e"
"02.01.2015 04:00 - 02.01.2015 05:00","8","n/e","n/e","n/e","n/e","n/e","2749","n/e","n/e"
"02.01.2015 05:00 - 02.01.2015 06:00","8","n/e","n/e","n/e","n/e","n/e","3068","n/e","n/e"
"02.01.2015 06:00 - 02.01.2015 07:00","10","n/e","n/e","n/e","n/e","n/e","3166","n/e","n/e"
"02.01.2015 07:00 - 02.01.2015 08:00","18","n/e","n/e","n/e","n/e","n/e","3141","n/e","n/e"
"02.01.2015 08:00 - 02.01.2015 09:00","63","n/e","n/e","n/e","n/e","n/e","3165","n/e","n/e"
"02.01.2015 09:00 - 02.01.2015 10:00","691","n/e","n/e","n/e","n/e","n/e","2907","n/e","n/e"
"02.01.2015 10:00 - 02.01.2015 11:00","1797","n/e","n/e","n/e","n/e","n/e","2510","n/e","n/e"
"02.01.2015 11:00 - 02.01.2015 12:00","3078","n/e","n/e","n/e","n/e","n/e","1945","n/e","n/e"
"02.01.2015 12:00 - 02.01.2015 13:00","3568","n/e","n/e","n/e","n/e","n/e","1486","n/e","n/e"
"02.01.2015 13:00 - 02.01.2015 14:00","3572","n/e","n/e","n/e","n/e","n/e","1267","n/e","n/e"
"02.01.2015 14:00 - 02.01.2015 15:00","3474","n/e","n/e","n/e","n/e","n/e","1363","n/e","n/e"
"02.01.2015 15:00 - 02.01.2015 16:00","2935","n/e","n/e","n/e","n/e","n/e","1426","n/e","n/e"
"02.01.2015 16:00 - 02.01.2015 17:00","2383","n/e","n/e","n/e","n/e","n/e","1678","n/e","n/e"
"02.01.2015 17:00 - 02.01.2015 18:00","1211","n/e","n/e","n/e","n/e","n/e","1807","n/e","n/e"
"02.01.2015 18:00 - 02.01.2015 19:00","392","n/e","n/e","n/e","n/e","n/e","2050","n/e","n/e"
"02.01.2015 19:00 - 02.01.2015 20:00","98","n/e","n/e","n/e","n/e","n/e","1933","n/e","n/e"
"02.01.2015 20:00 - 02.01.2015 21:00","52","n/e","n/e","n/e","n/e","n/e","1872","n/e","n/e"
"02.01.2015 21:00 - 02.01.2015 22:00","30","n/e","n/e","n/e","n/e","n/e","1755","n/e","n/e"
