"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|ES","Generation - Solar  [MW] Intraday / BZN|ES","Generation - Solar  [MW] Current / BZN|ES","Generation - Wind Offshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore  [MW] Intraday / BZN|ES","Generation - Wind Offshore  [MW] Current / BZN|ES","Generation - Wind Onshore  [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore  [MW] Intraday / BZN|ES","Generation - Wind Onshore  [MW] Current / BZN|ES"
"02.01.2015 22:00 - 02.01.2015 23:00","19","n/e","n/e","n/e","n/e","n/e","1938","n/e","n/e"
"02.01.2015 23:00 - 03.01.2015 00:00","16","n/e","n/e","n/e","n/e","n/e","2014","n/e","n/e"
"03.01.2015 00:00 - 03.01.2015 01:00","16","n/e","n/e","n/e","n/e","n/e","1965","n/e","n/e"
"03.01.2015 01:00 - 03.01.2015 02:00","16","n/e","n/e","n/e","n/e","n/e","1891","n/e","n/e"
"03.01.2015 02:00 - 03.01.2015 03:00","8","n/e","n/e","n/e","n/e","n/e","2097","n/e","n/e"
"03.01.2015 03:00 - 03.01.2015 04:00","2","n/e","n/e","n/e","n/e","n/e","2336","n/e","n/e"
"03.01.2015 04:00 - 03.01.2015 05:00","0","n/e","n/e","n/e","n/e","n/e","2475","n/e","n/e"
"03.01.2015 05:00 - 03.01.2015 06:00","0","n/e","n/e","n/e","n/e","n/e","2729","n/e","n/e"
"03.01.2015 06:00 - 03.01.2015 07:00","2","n/e","n/e","n/e","n/e","n/e","2903","n/e","n/e"
"03.01.2015 07:00 - 03.01.2015 08:00","22","n/e","n/e","n/e","n/e","n/e","3203","n/e","n/e"
"03.01.2015 08:00 - 03.01.2015 09:00","24","n/e","n/e","n/e","n/e","n/e","3262","n/e","n/e"
"03.01.2015 09:00 - 03.01.2015 10:00","683","n/e","n/e","n/e","n/e","n/e","3278","n/e","n/e"
"03.01.2015 10:00 - 03.01.2015 11:00","1777","n/e","n/e","n/e","n/e","n/e","3390","n/e","n/e"
"03.01.2015 11:00 - 03.01.2015 12:00","2996","n/e","n/e","n/e","n/e","n/e","3212","n/e","n/e"
"03.01.2015 12:00 - 03.01.2015 13:00","3831","n/e","n/e","n/e","n/e","n/e","2928","n/e","n/e"
"03.01.2015 13:00 - 03.01.2015 14:00","3939","n/e","n/e","n/e","n/e","n/e","2906","n/e","n/e"
"03.01.2015 14:00 - 03.01.2015 15:00","3691","n/e","n/e","n/e","n/e","n/e","3284","n/e","n/e"
"03.01.2015 15:00 - 03.01.2015 16:00","3197","n/e","n/e","n/e","n/e","n/e","3604","n/e","n/e"
"03.01.2015 16:00 - 03.01.2015 17:00","2438","n/e","n/e","n/e","n/e","n/e","3835","n/e","n/e"
"03.01.2015 17:00 - 03.01.2015 18:00","1347","n/e","n/e","n/e","n/e","n/e","4333","n/e","n/e"
"03.01.2015 18:00 - 03.01.2015 19:00","367","n/e","n/e","n/e","n/e","n/e","4817","n/e","n/e"
"03.01.2015 19:00 - 03.01.2015 20:00","107","n/e","n/e","n/e","n/e","n/e","5033","n/e","n/e"
"03.01.2015 20:00 - 03.01.2015 21:00","24","n/e","n/e","n/e","n/e","n/e","4925","n/e","n/e"
"03.01.2015 21:00 - 03.01.2015 22:00","20","n/e","n/e","n/e","n/e","n/e","5028","n/e","n/e"
"03.01.2015 22:00 - 03.01.2015 23:00","10","n/e","n/e","n/e","n/e","n/e","5059","n/e","n/e"
"03.01.2015 23:00 - 04.01.2015 00:00","9","n/e","n/e","n/e","n/e","n/e","5026","n/e","n/e"
"04.01.2015 00:00 - 04.01.2015 01:00","9","n/e","n/e","n/e","n/e","n/e","5120","n/e","n/e"
"04.01.2015 01:00 - 04.01.2015 02:00","10","n/e","n/e","n/e","n/e","n/e","5135","n/e","n/e"
"04.01.2015 02:00 - 04.01.2015 03:00","10","n/e","n/e","n/e","n/e","n/e","4989","n/e","n/e"
"04.01.2015 03:00 - 04.01.2015 04:00","11","n/e","n/e","n/e","n/e","n/e","5139","n/e","n/e"
"04.01.2015 04:00 - 04.01.2015 05:00","10","n/e","n/e","n/e","n/e","n/e","5102","n/e","n/e"
"04.01.2015 05:00 - 04.01.2015 06:00","11","n/e","n/e","n/e","n/e","n/e","5154","n/e","n/e"
"04.01.2015 06:00 - 04.01.2015 07:00","11","n/e","n/e","n/e","n/e","n/e","5102","n/e","n/e"
"04.01.2015 07:00 - 04.01.2015 08:00","42","n/e","n/e","n/e","n/e","n/e","5118","n/e","n/e"
"04.01.2015 08:00 - 04.01.2015 09:00","39","n/e","n/e","n/e","n/e","n/e","4992","n/e","n/e"
"04.01.2015 09:00 - 04.01.2015 10:00","684","n/e","n/e","n/e","n/e","n/e","4820","n/e","n/e"
"04.01.2015 10:00 - 04.01.2015 11:00","1753","n/e","n/e","n/e","n/e","n/e","4418","n/e","n/e"
"04.01.2015 11:00 - 04.01.2015 12:00","3074","n/e","n/e","n/e","n/e","n/e","4066","n/e","n/e"
"04.01.2015 12:00 - 04.01.2015 13:00","3610","n/e","n/e","n/e","n/e","n/e","3779","n/e","n/e"
"04.01.2015 13:00 - 04.01.2015 14:00","3960","n/e","n/e","n/e","n/e","n/e","3762","n/e","n/e"
"04.01.2015 14:00 - 04.01.2015 15:00","3738","n/e","n/e","n/e","n/e","n/e","3658","n/e","n/e"
"04.01.2015 15:00 - 04.01.2015 16:00","3612","n/e","n/e","n/e","n/e","n/e","3503","n/e","n/e"
"04.01.2015 16:00 - 04.01.2015 17:00","2507","n/e","n/e","n/e","n/e","n/e","3432","n/e","n/e"
"04.01.2015 17:00 - 04.01.2015 18:00","1435","n/e","n/e","n/e","n/e","n/e","3391","n/e","n/e"
"04.01.2015 18:00 - 04.01.2015 19:00","440","n/e","n/e","n/e","n/e","n/e","3496","n/e","n/e"
"04.01.2015 19:00 - 04.01.2015 20:00","115","n/e","n/e","n/e","n/e","n/e","3674","n/e","n/e"
"04.01.2015 20:00 - 04.01.2015 21:00","44","n/e","n/e","n/e","n/e","n/e","3592","n/e","n/e"
"04.01.2015 21:00 - 04.01.2015 22:00","57","n/e","n/e","n/e","n/e","n/e","3172","n/e","n/e"
"04.01.2015 22:00 - 04.01.2015 23:00","50","n/e","n/e","n/e","n/e","n/e","2702","n/e","n/e"
"04.01.2015 23:00 - 05.01.2015 00:00","30","n/e","n/e","n/e","n/e","n/e","2268","n/e","n/e"
"05.01.2015 00:00 - 05.01.2015 01:00","21","n/e","n/e","n/e","n/e","n/e","1603","n/e","n/e"
"05.01.2015 01:00 - 05.01.2015 02:00","27","n/e","n/e","n/e","n/e","n/e","1199","n/e","n/e"
"05.01.2015 02:00 - 05.01.2015 03:00","17","n/e","n/e","n/e","n/e","n/e","1090","n/e","n/e"
"05.01.2015 03:00 - 05.01.2015 04:00","16","n/e","n/e","n/e","n/e","n/e","1096","n/e","n/e"
"05.01.2015 04:00 - 05.01.2015 05:00","8","n/e","n/e","n/e","n/e","n/e","1226","n/e","n/e"
"05.01.2015 05:00 - 05.01.2015 06:00","8","n/e","n/e","n/e","n/e","n/e","1097","n/e","n/e"
"05.01.2015 06:00 - 05.01.2015 07:00","9","n/e","n/e","n/e","n/e","n/e","1119","n/e","n/e"
"05.01.2015 07:00 - 05.01.2015 08:00","19","n/e","n/e","n/e","n/e","n/e","1335","n/e","n/e"
"05.01.2015 08:00 - 05.01.2015 09:00","30","n/e","n/e","n/e","n/e","n/e","1501","n/e","n/e"
"05.01.2015 09:00 - 05.01.2015 10:00","615","n/e","n/e","n/e","n/e","n/e","1624","n/e","n/e"
"05.01.2015 10:00 - 05.01.2015 11:00","1792","n/e","n/e","n/e","n/e","n/e","1532","n/e","n/e"
"05.01.2015 11:00 - 05.01.2015 12:00","2788","n/e","n/e","n/e","n/e","n/e","1380","n/e","n/e"
"05.01.2015 12:00 - 05.01.2015 13:00","3704","n/e","n/e","n/e","n/e","n/e","1243","n/e","n/e"
"05.01.2015 13:00 - 05.01.2015 14:00","3778","n/e","n/e","n/e","n/e","n/e","1263","n/e","n/e"
"05.01.2015 14:00 - 05.01.2015 15:00","3657","n/e","n/e","n/e","n/e","n/e","1371","n/e","n/e"
"05.01.2015 15:00 - 05.01.2015 16:00","3083","n/e","n/e","n/e","n/e","n/e","1439","n/e","n/e"
"05.01.2015 16:00 - 05.01.2015 17:00","2322","n/e","n/e","n/e","n/e","n/e","1396","n/e","n/e"
"05.01.2015 17:00 - 05.01.2015 18:00","1363","n/e","n/e","n/e","n/e","n/e","1418","n/e","n/e"
"05.01.2015 18:00 - 05.01.2015 19:00","361","n/e","n/e","n/e","n/e","n/e","1562","n/e","n/e"
"05.01.2015 19:00 - 05.01.2015 20:00","80","n/e","n/e","n/e","n/e","n/e","1765","n/e","n/e"
"05.01.2015 20:00 - 05.01.2015 21:00","30","n/e","n/e","n/e","n/e","n/e","1824","n/e","n/e"
"05.01.2015 21:00 - 05.01.2015 22:00","38","n/e","n/e","n/e","n/e","n/e","1824","n/e","n/e"
"05.01.2015 22:00 - 05.01.2015 23:00","36","n/e","n/e","n/e","n/e","n/e","1818","n/e","n/e"
"05.01.2015 23:00 - 06.01.2015 00:00","35","n/e","n/e","n/e","n/e","n/e","1993","n/e","n/e"
"06.01.2015 00:00 - 06.01.2015 01:00","3","n/e","n/e","n/e","n/e","n/e","2316","n/e","n/e"
"06.01.2015 01:00 - 06.01.2015 02:00","0","n/e","n/e","n/e","n/e","n/e","2414","n/e","n/e"
"06.01.2015 02:00 - 06.01.2015 03:00","0","n/e","n/e","n/e","n/e","n/e","2820","n/e","n/e"
"06.01.2015 03:00 - 06.01.2015 04:00","1","n/e","n/e","n/e","n/e","n/e","2901","n/e","n/e"
"06.01.2015 04:00 - 06.01.2015 05:00","2","n/e","n/e","n/e","n/e","n/e","3147","n/e","n/e"
"06.01.2015 05:00 - 06.01.2015 06:00","1","n/e","n/e","n/e","n/e","n/e","3239","n/e","n/e"
"06.01.2015 06:00 - 06.01.2015 07:00","1","n/e","n/e","n/e","n/e","n/e","3357","n/e","n/e"
"06.01.2015 07:00 - 06.01.2015 08:00","3","n/e","n/e","n/e","n/e","n/e","3380","n/e","n/e"
"06.01.2015 08:00 - 06.01.2015 09:00","23","n/e","n/e","n/e","n/e","n/e","3195","n/e","n/e"
"06.01.2015 09:00 - 06.01.2015 10:00","493","n/e","n/e","n/e","n/e","n/e","3180","n/e","n/e"
"06.01.2015 10:00 - 06.01.2015 11:00","1240","n/e","n/e","n/e","n/e","n/e","2829","n/e","n/e"
"06.01.2015 11:00 - 06.01.2015 12:00","1933","n/e","n/e","n/e","n/e","n/e","2142","n/e","n/e"
"06.01.2015 12:00 - 06.01.2015 13:00","2631","n/e","n/e","n/e","n/e","n/e","1773","n/e","n/e"
"06.01.2015 13:00 - 06.01.2015 14:00","2814","n/e","n/e","n/e","n/e","n/e","1665","n/e","n/e"
"06.01.2015 14:00 - 06.01.2015 15:00","2853","n/e","n/e","n/e","n/e","n/e","1748","n/e","n/e"
"06.01.2015 15:00 - 06.01.2015 16:00","2128","n/e","n/e","n/e","n/e","n/e","1853","n/e","n/e"
"06.01.2015 16:00 - 06.01.2015 17:00","1440","n/e","n/e","n/e","n/e","n/e","1726","n/e","n/e"
"06.01.2015 17:00 - 06.01.2015 18:00","714","n/e","n/e","n/e","n/e","n/e","1751","n/e","n/e"
"06.01.2015 18:00 - 06.01.2015 19:00","165","n/e","n/e","n/e","n/e","n/e","1733","n/e","n/e"
"06.01.2015 19:00 - 06.01.2015 20:00","0","n/e","n/e","n/e","n/e","n/e","1864","n/e","n/e"
"06.01.2015 20:00 - 06.01.2015 21:00","0","n/e","n/e","n/e","n/e","n/e","2125","n/e","n/e"
"06.01.2015 21:00 - 06.01.2015 22:00","5","n/e","n/e","n/e","n/e","n/e","2527","n/e","n/e"
"06.01.2015 22:00 - 06.01.2015 23:00","7","n/e","n/e","n/e","n/e","n/e","2668","n/e","n/e"
"06.01.2015 23:00 - 07.01.2015 00:00","0","n/e","n/e","n/e","n/e","n/e","2557","n/e","n/e"
"07.01.2015 00:00 - 07.01.2015 01:00","0","n/e","n/e","n/e","n/e","n/e","2481","n/e","n/e"
"07.01.2015 01:00 - 07.01.2015 02:00","2","n/e","n/e","n/e","n/e","n/e","2174","n/e","n/e"
"07.01.2015 02:00 - 07.01.2015 03:00","2","n/e","n/e","n/e","n/e","n/e","1691","n/e","n/e"
"07.01.2015 03:00 - 07.01.2015 04:00","0","n/e","n/e","n/e","n/e","n/e","1280","n/e","n/e"
"07.01.2015 04:00 - 07.01.2015 05:00","0","n/e","n/e","n/e","n/e","n/e","938","n/e","n/e"
"07.01.2015 05:00 - 07.01.2015 06:00","0","n/e","n/e","n/e","n/e","n/e","720","n/e","n/e"
"07.01.2015 06:00 - 07.01.2015 07:00","1","n/e","n/e","n/e","n/e","n/e","720","n/e","n/e"
"07.01.2015 07:00 - 07.01.2015 08:00","11","n/e","n/e","n/e","n/e","n/e","786","n/e","n/e"
"07.01.2015 08:00 - 07.01.2015 09:00","18","n/e","n/e","n/e","n/e","n/e","1077","n/e","n/e"
"07.01.2015 09:00 - 07.01.2015 10:00","476","n/e","n/e","n/e","n/e","n/e","1294","n/e","n/e"
"07.01.2015 10:00 - 07.01.2015 11:00","1226","n/e","n/e","n/e","n/e","n/e","944","n/e","n/e"
"07.01.2015 11:00 - 07.01.2015 12:00","1913","n/e","n/e","n/e","n/e","n/e","609","n/e","n/e"
"07.01.2015 12:00 - 07.01.2015 13:00","2497","n/e","n/e","n/e","n/e","n/e","437","n/e","n/e"
"07.01.2015 13:00 - 07.01.2015 14:00","2836","n/e","n/e","n/e","n/e","n/e","405","n/e","n/e"
"07.01.2015 14:00 - 07.01.2015 15:00","2756","n/e","n/e","n/e","n/e","n/e","384","n/e","n/e"
"07.01.2015 15:00 - 07.01.2015 16:00","2261","n/e","n/e","n/e","n/e","n/e","361","n/e","n/e"
"07.01.2015 16:00 - 07.01.2015 17:00","1784","n/e","n/e","n/e","n/e","n/e","387","n/e","n/e"
"07.01.2015 17:00 - 07.01.2015 18:00","919","n/e","n/e","n/e","n/e","n/e","441","n/e","n/e"
"07.01.2015 18:00 - 07.01.2015 19:00","247","n/e","n/e","n/e","n/e","n/e","630","n/e","n/e"
"07.01.2015 19:00 - 07.01.2015 20:00","66","n/e","n/e","n/e","n/e","n/e","885","n/e","n/e"
"07.01.2015 20:00 - 07.01.2015 21:00","15","n/e","n/e","n/e","n/e","n/e","902","n/e","n/e"
"07.01.2015 21:00 - 07.01.2015 22:00","17","n/e","n/e","n/e","n/e","n/e","920","n/e","n/e"
"07.01.2015 22:00 - 07.01.2015 23:00","15","n/e","n/e","n/e","n/e","n/e","861","n/e","n/e"
"07.01.2015 23:00 - 08.01.2015 00:00","15","n/e","n/e","n/e","n/e","n/e","1008","n/e","n/e"
"08.01.2015 00:00 - 08.01.2015 01:00","14","n/e","n/e","n/e","n/e","n/e","1003","n/e","n/e"
"08.01.2015 01:00 - 08.01.2015 02:00","10","n/e","n/e","n/e","n/e","n/e","1164","n/e","n/e"
"08.01.2015 02:00 - 08.01.2015 03:00","7","n/e","n/e","n/e","n/e","n/e","1416","n/e","n/e"
"08.01.2015 03:00 - 08.01.2015 04:00","3","n/e","n/e","n/e","n/e","n/e","1602","n/e","n/e"
"08.01.2015 04:00 - 08.01.2015 05:00","1","n/e","n/e","n/e","n/e","n/e","1725","n/e","n/e"
"08.01.2015 05:00 - 08.01.2015 06:00","1","n/e","n/e","n/e","n/e","n/e","1837","n/e","n/e"
"08.01.2015 06:00 - 08.01.2015 07:00","1","n/e","n/e","n/e","n/e","n/e","2030","n/e","n/e"
"08.01.2015 07:00 - 08.01.2015 08:00","12","n/e","n/e","n/e","n/e","n/e","2032","n/e","n/e"
"08.01.2015 08:00 - 08.01.2015 09:00","34","n/e","n/e","n/e","n/e","n/e","1925","n/e","n/e"
"08.01.2015 09:00 - 08.01.2015 10:00","600","n/e","n/e","n/e","n/e","n/e","1944","n/e","n/e"
"08.01.2015 10:00 - 08.01.2015 11:00","1611","n/e","n/e","n/e","n/e","n/e","2000","n/e","n/e"
"08.01.2015 11:00 - 08.01.2015 12:00","2448","n/e","n/e","n/e","n/e","n/e","2122","n/e","n/e"
"08.01.2015 12:00 - 08.01.2015 13:00","3003","n/e","n/e","n/e","n/e","n/e","1789","n/e","n/e"
"08.01.2015 13:00 - 08.01.2015 14:00","3257","n/e","n/e","n/e","n/e","n/e","2051","n/e","n/e"
"08.01.2015 14:00 - 08.01.2015 15:00","3233","n/e","n/e","n/e","n/e","n/e","2196","n/e","n/e"
"08.01.2015 15:00 - 08.01.2015 16:00","2948","n/e","n/e","n/e","n/e","n/e","2405","n/e","n/e"
"08.01.2015 16:00 - 08.01.2015 17:00","2289","n/e","n/e","n/e","n/e","n/e","2354","n/e","n/e"
"08.01.2015 17:00 - 08.01.2015 18:00","1183","n/e","n/e","n/e","n/e","n/e","2012","n/e","n/e"
"08.01.2015 18:00 - 08.01.2015 19:00","300","n/e","n/e","n/e","n/e","n/e","2292","n/e","n/e"
"08.01.2015 19:00 - 08.01.2015 20:00","55","n/e","n/e","n/e","n/e","n/e","2829","n/e","n/e"
"08.01.2015 20:00 - 08.01.2015 21:00","9","n/e","n/e","n/e","n/e","n/e","3749","n/e","n/e"
"08.01.2015 21:00 - 08.01.2015 22:00","19","n/e","n/e","n/e","n/e","n/e","4055","n/e","n/e"
"08.01.2015 22:00 - 08.01.2015 23:00","18","n/e","n/e","n/e","n/e","n/e","4444","n/e","n/e"
"08.01.2015 23:00 - 09.01.2015 00:00","14","n/e","n/e","n/e","n/e","n/e","4773","n/e","n/e"
"09.01.2015 00:00 - 09.01.2015 01:00","18","n/e","n/e","n/e","n/e","n/e","5096","n/e","n/e"
"09.01.2015 01:00 - 09.01.2015 02:00","16","n/e","n/e","n/e","n/e","n/e","4655","n/e","n/e"
"09.01.2015 02:00 - 09.01.2015 03:00","16","n/e","n/e","n/e","n/e","n/e","3762","n/e","n/e"
"09.01.2015 03:00 - 09.01.2015 04:00","17","n/e","n/e","n/e","n/e","n/e","3295","n/e","n/e"
"09.01.2015 04:00 - 09.01.2015 05:00","8","n/e","n/e","n/e","n/e","n/e","2982","n/e","n/e"
"09.01.2015 05:00 - 09.01.2015 06:00","2","n/e","n/e","n/e","n/e","n/e","3178","n/e","n/e"
"09.01.2015 06:00 - 09.01.2015 07:00","1","n/e","n/e","n/e","n/e","n/e","3246","n/e","n/e"
"09.01.2015 07:00 - 09.01.2015 08:00","6","n/e","n/e","n/e","n/e","n/e","3615","n/e","n/e"
"09.01.2015 08:00 - 09.01.2015 09:00","58","n/e","n/e","n/e","n/e","n/e","3592","n/e","n/e"
"09.01.2015 09:00 - 09.01.2015 10:00","670","n/e","n/e","n/e","n/e","n/e","3425","n/e","n/e"
"09.01.2015 10:00 - 09.01.2015 11:00","1825","n/e","n/e","n/e","n/e","n/e","3357","n/e","n/e"
"09.01.2015 11:00 - 09.01.2015 12:00","2942","n/e","n/e","n/e","n/e","n/e","3297","n/e","n/e"
"09.01.2015 12:00 - 09.01.2015 13:00","3719","n/e","n/e","n/e","n/e","n/e","3184","n/e","n/e"
"09.01.2015 13:00 - 09.01.2015 14:00","3822","n/e","n/e","n/e","n/e","n/e","3081","n/e","n/e"
"09.01.2015 14:00 - 09.01.2015 15:00","3667","n/e","n/e","n/e","n/e","n/e","3125","n/e","n/e"
"09.01.2015 15:00 - 09.01.2015 16:00","3409","n/e","n/e","n/e","n/e","n/e","3086","n/e","n/e"
"09.01.2015 16:00 - 09.01.2015 17:00","2689","n/e","n/e","n/e","n/e","n/e","3102","n/e","n/e"
"09.01.2015 17:00 - 09.01.2015 18:00","1407","n/e","n/e","n/e","n/e","n/e","3122","n/e","n/e"
"09.01.2015 18:00 - 09.01.2015 19:00","535","n/e","n/e","n/e","n/e","n/e","3170","n/e","n/e"
"09.01.2015 19:00 - 09.01.2015 20:00","113","n/e","n/e","n/e","n/e","n/e","3454","n/e","n/e"
"09.01.2015 20:00 - 09.01.2015 21:00","11","n/e","n/e","n/e","n/e","n/e","3678","n/e","n/e"
"09.01.2015 21:00 - 09.01.2015 22:00","42","n/e","n/e","n/e","n/e","n/e","3793","n/e","n/e"
"09.01.2015 22:00 - 09.01.2015 23:00","23","n/e","n/e","n/e","n/e","n/e","3802","n/e","n/e"
"09.01.2015 23:00 - 10.01.2015 00:00","32","n/e","n/e","n/e","n/e","n/e","3490","n/e","n/e"
"10.01.2015 00:00 - 10.01.2015 01:00","21","n/e","n/e","n/e","n/e","n/e","3530","n/e","n/e"
"10.01.2015 01:00 - 10.01.2015 02:00","16","n/e","n/e","n/e","n/e","n/e","3600","n/e","n/e"
"10.01.2015 02:00 - 10.01.2015 03:00","15","n/e","n/e","n/e","n/e","n/e","3732","n/e","n/e"
"10.01.2015 03:00 - 10.01.2015 04:00","16","n/e","n/e","n/e","n/e","n/e","4001","n/e","n/e"
"10.01.2015 04:00 - 10.01.2015 05:00","15","n/e","n/e","n/e","n/e","n/e","4034","n/e","n/e"
"10.01.2015 05:00 - 10.01.2015 06:00","7","n/e","n/e","n/e","n/e","n/e","4256","n/e","n/e"
"10.01.2015 06:00 - 10.01.2015 07:00","2","n/e","n/e","n/e","n/e","n/e","4577","n/e","n/e"
"10.01.2015 07:00 - 10.01.2015 08:00","15","n/e","n/e","n/e","n/e","n/e","4817","n/e","n/e"
"10.01.2015 08:00 - 10.01.2015 09:00","49","n/e","n/e","n/e","n/e","n/e","5003","n/e","n/e"
"10.01.2015 09:00 - 10.01.2015 10:00","676","n/e","n/e","n/e","n/e","n/e","4761","n/e","n/e"
"10.01.2015 10:00 - 10.01.2015 11:00","1852","n/e","n/e","n/e","n/e","n/e","4216","n/e","n/e"
